"Chemical Name", "Average Monthly Wikipedia Views (2018)"
Glycine,31706
Glycine,31706
Naphthalene,31665
Dehydroepiandrosterone,31596
Potassium hydroxide,31556
Strychnine,31366
2C-B,31366
Lactose,31325
Glucosamine,31304
Tetracycline,31154
Phenolphthalein,31110
Ibogaine,31024
Chlorphenamine,31010
Carvedilol,30822
TNT,30717
Prussian blue,30640
Polydimethylsiloxane,30512
Aniline,30492
Chlorhexidine,30443
Phenytoin,30408
Clomifene,30400
Tyrosine,30200
Tyrosine,30200
Clobetasol propionate,29991
Atomoxetine,29955
Amygdalin,29697
Amygdalin,29697
Pyridine,29650
Theophylline,29578
Doxylamine,29547
Carnitine,29221
Melamine,29084
Dihydrotestosterone,29082
Hydrofluoric acid,29066
Resveratrol,29042
Nitrate,29022
Menthol,28974
Retinol,28816
Hydralazine,28792
Nitrogen dioxide,28716
Nitrogen dioxide,28716
Purine,28525
Aqua regia,28303
Choline,28249
Ipratropium bromide,28210
Carbonic acid,28209
Cholecalciferol,28169
Methylene blue,28065
Nifedipine,27990
Acrylamide,27987
Acetylene,27938
Azathioprine,27897
Nicotinamide,27884
Tungsten carbide,27871
Hexane,27852
Rivaroxaban,27773
Ammonium nitrate,27760
Mannitol,27686
Bicarbonate,27639
Albendazole,27626
Tetrodotoxin,27453
Tetrodotoxin,27453
Sodium benzoate,27374
Phosgene,27278
Sodium sulfate,27025
Sulfate,26856
Nystatin,26823
Ampicillin,26809
Ciclosporin,26714
Carisoprodol,26708
Hydrogen chloride,26620
L-DOPA,26615
Glutamic acid,26592
Glutamic acid,26592
Glutamic acid,26592
Glutamic acid,26592
Metamizole,26538
Acetaldehyde,26408
Levonorgestrel,26406
Rifampicin,26393
Ivermectin,26258
Hydroxychloroquine,26226
Etoricoxib,26213
Piracetam,26118
Silver nitrate,26087
Diltiazem,26040
Famotidine,26011
Apixaban,25975
Indometacin,25945
Benzoyl peroxide,25886
Trisodium phosphate,25867
Nortriptyline,25864
Silicon carbide,25856
Rosuvastatin,25829
Meclizine,25771
Esomeprazole,25703
Ofloxacin,25675
Potassium cyanide,25650
Oleic acid,25626
Cyproheptadine,25582
Atenolol,25531
Levocetirizine,25342
Betahistine,25332
Iron(III) oxide,25328
Bismuth subsalicylate,25323
Verapamil,25320
Butane,25287
Oxandrolone,25281
Sulfamethoxazole,25190
Dicycloverine,25165
Inositol,25155
Hyoscine butylbromide,25115
Cysteine,25055
Cysteine,25055
Cysteine,25055
Cysteine,25055
Disulfiram,25008
Carprofen,24990
Memantine,24902
Bisoprolol,24830
Tacrolimus,24750
Prazosin,24727
Tretinoin,24683
Cefixime,24659
Tartaric acid,24604
Theanine,24594
Theanine,24594
Chlordiazepoxide,24485
Valaciclovir,24389
Cefdinir,24267
Benzocaine,24128
Lactulose,24090
Indigo dye,24049
Oxybutynin,23960
Amantadine,23952
Cyclophosphamide,23943
Stanozolol,23898
DEET,23889
Triamcinolone acetonide,23827
Desmopressin,23694
Thioacetone,23668
Mefenamic acid,23544
Paclitaxel,23406
Chloral hydrate,23380
Carbon tetrachloride,23367
Dapoxetine,23335
Cinnarizine,23314
Flucloxacillin,23164
Simvastatin,23043
Rifaximin,23038
Phenethylamine,23014
Orlistat,23011
Budesonide,22992
Sodium acetate,22943
Acetate,22942
Fluvoxamine,22825
Linezolid,22775
Cisplatin,22734
Limonene,22725
Imatinib,22596
Magnesium hydroxide,22506
Mephedrone,22464
Linoleic acid,22460
Stearic acid,22440
Potassium bitartrate,22428
Amyl nitrite,22401
Octreotide,22302
Doxorubicin,22213
Dabigatran,22162
Theobromine,22124
Sodium thiosulfate,21994
Letrozole,21951
Cyclic adenosine monophosphate,21825
Pantothenic acid,21804
Pantothenic acid,21804
Pantothenic acid,21804
Fluorouracil,21741
Mesalazine,21730
Calcitriol,21706
Dihydrocodeine,21678
Potassium iodide,21655
Buckminsterfullerene,21650
Liraglutide,21604
Clomipramine,21506
Methionine,21433
Methionine,21433
Diethylstilbestrol,21427
Cefuroxime,21406
Minocycline,21389
Lycopene,21360
Nimesulide,21285
Varenicline,21274
Magnesium chloride,21125
CS gas,21065
Acetyl-CoA,21012
Bisacodyl,21012
Trimethoprim,20971
Guanfacine,20970
Hydroquinone,20920
Dexmedetomidine,20890
Sulfasalazine,20889
Bromazepam,20821
Ammonium,20695
Malic acid,20460
Styrene,20448
Vanillin,20435
Ursodeoxycholic acid,20392
Sodium nitrate,20291
Saccharin,20248
Dimethylformamide,20244
Oxcarbazepine,20174
Agomelatine,20103
Iron(II) sulfate,20077
Meropenem,20070
Carbonate,20061
Tetrahydrofuran,20005
Iron(III) chloride,19790
Methylcobalamin,19778
Etizolam,19730
Zidovudine,19657
Streptomycin,19581
Sodium dodecyl sulfate,19552
Carbon black,19506
Ivabradine,19503
Coumarin,19391
Methylsulfonylmethane,19334
Doxepin,19295
Tapentadol,19292
Maltose,19112
Galactose,19098
Suxamethonium chloride,19020
Dobutamine,18948
Chloride,18864
Isoniazid,18776
Acesulfame potassium,18726
Ramipril,18710
Methyl salicylate,18666
Lansoprazole,18665
Aspartic acid,18630
Aspartic acid,18630
Aspartic acid,18630
Ethylene oxide,18608
Hydroxide,18577
Histidine,18553
Histidine,18553
Histidine,18553
Quercetin,18552
Ezetimibe,18539
Chlorpyrifos,18496
Fusidic acid,18378
Acetonitrile,18365
Enalapril,18356
25I-NBOMe,18284
Labetalol,18271
Tetraethyllead,18169
Cimetidine,18150
Cefazolin,18082
Beta-Carotene,18061
Hydrogen fluoride,17979
Desvenlafaxine,17927
Ammonium sulfate,17911
Sitagliptin,17819
Docosahexaenoic acid,17811
Chitosan,17778
Forskolin,17736
Itraconazole,17721
Magnesium citrate,17676
Methylamine,17628
Linalool,17557
Fluticasone propionate,17534
Sulfur hexafluoride,17493
Tianeptine,17470
Calcium sulfate,17449
Oxazepam,17444
Yohimbine,17427
Polyvinyl acetate,17421
Arachidonic acid,17406
Secobarbital,17403
2,4-Dichlorophenoxyacetic acid,17380
Palmitic acid,17326
Benzaldehyde,17322
Ticagrelor,17279
Leucine,17257
Leucine,17257
Methylhexanamine,17252
Ammonia solution,17223
Homocysteine,17198
Pramipexole,17179
Tris,17152
Pyruvic acid,17123
Fluticasone,17025
Midodrine,16975
Moxifloxacin,16973
Aluminium chloride,16950
Aluminium chloride,16950
Imipramine,16941
Trenbolone,16924
Imidazole,16921
Lipoic acid,16913
Metandienone,16898
Butyric acid,16891
Trimetazidine,16797
Acetic anhydride,16777
Potassium alum,16773
Ethane,16763
Barbital,16750
Sirolimus,16716
Danazol,16676
Sodium metabisulfite,16641
Pyrimidine,16634
Fenofibrate,16629
Mebeverine,16580
Cyproterone acetate,16568
Aluminium hydroxide,16526
Dimethylmercury,16501
Amphotericin B,16459
Alanine,16391
Alanine,16391
Alanine,16391
Alanine,16391
Colistin,16377
Cabergoline,16327
Ambroxol,16322
Butanone,16308
Fluoroantimonic acid,16277
Pilocarpine,16273
Benzyl alcohol,16253
Astaxanthin,16226
Boron nitride,16217
Boron nitride,16217
Methyl orange,16205
Tyramine,16150
Dapsone,16102
Proline,16067
Proline,16067
Paraquat,15975
Sodium nitrite,15913
Butylated hydroxytoluene,15896
Mercury(II) chloride,15836
2,4-Dinitrophenol,15806
Adenine,15787
Procaine,15707
Rabeprazole,15665
Empagliflozin,15665
Testosterone (medication),15630
Potassium sorbate,15564
Nandrolone,15523
Cyclohexane,15476
Calcium hypochlorite,15431
Crystal violet,15393
Triiodothyronine,15344
Glimepiride,15336
Phenothiazine,15286
Cyanocobalamin,15278
Lutein,15259
Triclosan,15236
Neostigmine,15222
Acetone peroxide,15210
Acetone peroxide,15210
Pioglitazone,15152
Triazolam,15147
Miconazole,15145
Polyvinylpyrrolidone,15139
Pentane,15137
Maltitol,15123
Hypochlorous acid,15070
Dexmethylphenidate,15069
Hyoscyamine,15055
Orphenadrine,15050
Armodafinil,15028
Ptaquiloside,15027
Clavulanic acid,15019
3,4-Methylenedioxyamphetamine,14994
Oxymetazoline,14993
Potassium carbonate,14982
Succinic acid,14972
Dutasteride,14959
Chloroquine,14958
Silver sulfadiazine,14935
Octane,14908
Serine,14901
Serine,14901
Trichloroethylene,14862
Methyldopa,14847
Phosphine,14812
Adapalene,14787
Resiniferatoxin,14782
Tartrazine,14757
Anastrozole,14750
Leuprorelin,14713
Milrinone,14688
Beta-Hydroxy beta-methylbutyric acid,14657
Oxalate,14641
Ropinirole,14629
Chlorine dioxide,14583
Chlorine dioxide,14583
Meprobamate,14500
Flecainide,14449
Neomycin,14389
Butalbital,14375
Lurasidone,14364
Acamprosate,14309
Eugenol,14305
Indole,14248
Glycolic acid,14225
Enobosarm,14149
Flumazenil,14108
Triethylamine,14097
Luminol,14084
Ranolazine,14021
Sodium nitroprusside,14011
Perchloric acid,14006
S-Adenosyl methionine,13972
Imiquimod,13963
Desloratadine,13939
Bromocriptine,13930
Atrazine,13922
Ziprasidone,13921
Artemisinin,13904
Ketoprofen,13897
3-Quinuclidinyl benzilate,13825
Ibutamoren,13821
Eszopiclone,13797
Pentoxifylline,13794
Glycopyrronium bromide,13709
Sodium borohydride,13671
Trehalose,13629
Dextropropoxyphene,13623
Ergotamine,13621
Pyridoxine,13581
Cilostazol,13581
Bacitracin,13579
Tofacitinib,13544
1,1,1,2-Tetrafluoroethane,13497
Asparagine,13492
Asparagine,13492
Trihexyphenidyl,13468
Lorcaserin,13464
Isoprenaline,13453
Mebendazole,13405
Panthenol,13376
1-Propanol,13376
Fluorescein,13321
Gliclazide,13314
Perfluorooctanoic acid,13251
Telmisartan,13249
Nicotinamide adenine dinucleotide phosphate,13243
Aluminium sulfate,13242
Hydronium,13229
Phenoxymethylpenicillin,13229
Nitrite,13197
Bradykinin,13192
N-Butanol,13153
Calcium carbide,13119
Copper(II) oxide,13068
Copper(II) oxide,13068
Docusate,13042
Beta-Hydroxybutyric acid,13014
Fosfomycin,12994
Lauric acid,12985
Chlorine trifluoride,12981
Chlorine trifluoride,12981
Fludrocortisone,12967
Heptane,12937
Medroxyprogesterone acetate,12925
Mycophenolic acid,12918
Amikacin,12896
Prostaglandin E2,12826
Potassium dichromate,12819
Chlortalidone,12811
Aceclofenac,12803
Epinephrine (medication),12803
Isoprene,12739
Mirabegron,12706
Anandamide,12703
Thiomersal,12702
Citicoline,12676
Drotaverine,12665
Reserpine,12644
Soman,12635
Nitrazepam,12606
Febuxostat,12606
Amiloride,12588
Sodium azide,12578
Guanine,12573
Iron(II,III) oxide,12569
Picric acid,12538
Propene,12505
Hydroxycarbamide,12493
Berberine,12484
Pyrimethamine,12463
Propionic acid,12462
Pyrrole,12460
Dipyridamole,12445
Manganese dioxide,12410
Calcium oxalate,12378
Barium sulfate,12321
1-Decanol,12308
Squalene,12306
Flibanserin,12301
Nitromethane,12294
Sibutramine,12264
Dapagliflozin,12234
Thujone,12232
Thujone,12232
Sodium bisulfite,12205
Nusinersen,12160
Cefpodoxime,12144
Gallium arsenide,12142
Phosphorus pentoxide,12137
Phosphorus pentoxide,12137
Ceftazidime,12116
Selegiline,12087
Malathion,12057
Ibrutinib,12053
Glutaraldehyde,12039
Lithium carbonate,11996
Physostigmine,11994
Levamisole,11988
Praziquantel,11984
Sotalol,11962
Hexamethylenetetramine,11906
C-peptide,11898
Liquid hydrogen,11888
Safrole,11886
Copper(II) chloride,11871
Copper(II) chloride,11871
Piroxicam,11862
Alpha-Linolenic acid,11834
Paliperidone,11818
N-Nitrosodimethylamine,11801
Amisulpride,11774
Ethanolamine,11703
Methyl isocyanate,11692
Coenzyme A,11685
Fipronil,11679
Imidacloprid,11662
Merbromin,11655
Zinc chloride,11651
Bicalutamide,11626
Bupivacaine,11584
Triethanolamine,11584
2,3-Bisphosphoglyceric acid,11582
Carbon disulfide,11546
Triton X-100,11505
Gamma-Butyrolactone,11503
Ribose,11501
Leflunomide,11490
Flavin adenine dinucleotide,11476
Flavin adenine dinucleotide,11476
Flavin adenine dinucleotide,11476
Flavin adenine dinucleotide,11476
Cariprazine,11465
Perindopril,11416
Brexpiprazole,11411
Cefotaxime,11405
Clobazam,11401
Acetanilide,11374
Lenalidomide,11371
Xylometazoline,11359
Benzatropine,11349
Ribavirin,11346
Vinyl chloride,11325
Piperine,11324
Calcium gluconate,11305
Carbimazole,11290
Citrulline,11288
Pravastatin,11273
Solanine,11258
Tetrachloroethylene,11222
2,4-Dinitrophenylhydrazine,11191
Allicin,11167
Primidone,11146
Magnesium carbonate,11133
Cathinone,11118
Allura Red AC,11118
Vincristine,11113
Tobramycin,11113
Malacidin,11068
Glipizide,11037
Trisodium citrate,11021
Cantharidin,11002
Pyridostigmine,10988
Riluzole,10987
Galantamine,10985
Linaclotide,10977
Fluocinonide,10970
Vardenafil,10963
Chloroxylenol,10949
Sulpiride,10914
Bromhexine,10883
Methyl methacrylate,10876
Methylparaben,10876
Piperidine,10875
Zinc sulfate,10844
Oxymorphone,10826
Docetaxel,10823
Sulfide,10812
5-MeO-DMT,10809
Tannic acid,10809
Terbutaline,10803
N-Methyl-2-pyrrolidone,10784
Metolazone,10757
Sulfur trioxide,10755
Sulfur trioxide,10755
Sulfur trioxide,10755
Alendronic acid,10751
Catechin,10749
Capecitabine,10734
Bortezomib,10730
Apremilast,10729
Flunarizine,10723
Chloramine,10718
Olmesartan,10718
Brilliant Blue FCF,10713
Dantrolene,10699
Molybdenum disulfide,10661
Zoledronic acid,10617
Sofosbuvir,10613
Disodium phosphate,10580
Maitotoxin,10575
Threonine,10550
Threonine,10550
1,4-Butanediol,10531
Magnesium sulfate (medical use),10525
Furan,10516
Dimethyl ether,10479
1P-LSD,10479
Norfloxacin,10468
Thionyl chloride,10460
Potassium chlorate,10453
Cypermethrin,10434
Gibberellin,10403
Vilazodone,10398
Etomidate,10381
Resorcinol,10360
Ethylenediamine,10353
Potassium bromide,10347
Bromide,10342
Chlorodifluoromethane,10313
Benzylpenicillin,10302
Xanthine,10298
Tert-Butyl alcohol,10295
Tenofovir disoproxil,10266
Tenofovir disoproxil,10266
Cefepime,10266
Nebivolol,10238
Lacosamide,10237
Isosorbide mononitrate,10234
Methyl tert-butyl ether,10197
Endosulfan,10195
Adrafinil,10170
Acetylcarnitine,10160
Quinidine,10156
Captopril,10152
Dithiothreitol,10152
Cyclizine,10152
Azelaic acid,10138
Halothane,10127
Phytic acid,10103
Doxazosin,10097
Bilastine,10082
Glibenclamide,10052
Sulforaphane,10050
Aminophylline,10035
Silver chloride,10025
Oxytetracycline,10018
Silane,10008
Phenelzine,10000
Gemcitabine,9998
Valine,9988
Valine,9988
Folinic acid,9986
Tryptamine,9952
Uracil,9935
Uracil,9935
Bromothymol blue,9931
Sorafenib,9928
Ninhydrin,9926
Thiocolchicoside,9922
Rivastigmine,9914
Phenoxyethanol,9908
Ferrocene,9907
HEPES,9902
Nabumetone,9891
Rofecoxib,9873
Thymol,9870
Suvorexant,9866
Acepromazine,9859
Azelastine,9856
Cobalt(II) chloride,9853
Cocamidopropyl betaine,9808
Dinitrogen tetroxide,9790
Raloxifene,9727
Cinnamaldehyde,9708
Prostacyclin,9690
Diborane,9687
Benzophenone,9644
Exenatide,9644
Potassium sulfate,9642
Temozolomide,9632
Palbociclib,9556
GW501516,9536
Ketotifen,9535
Bifenthrin,9525
Bifenthrin,9525
Thiocyanate,9524
Perchlorate,9516
Trifluoroacetic acid,9505
Pyridoxal phosphate,9487
Mercaptopurine,9481
Drostanolone,9477
Latanoprost,9469
DAPI,9467
Nisin,9461
Acrylonitrile,9443
Nitazoxanide,9418
Phenacetin,9407
Deflazacort,9389
Indapamide,9333
Iodoform,9313
Methylenedioxypyrovalerone,9305
Griseofulvin,9295
Fondaparinux,9289
Diacetyl,9272
Epigallocatechin gallate,9264
Quinoline,9251
Isomalt,9238
Potassium ferricyanide,9226
Pregnenolone,9220
Anthracene,9219
Candesartan,9194
Rizatriptan,9190
Isosorbide dinitrate,9183
Hypochlorite,9180
Chlorodehydromethyltestosterone,9169
Cytosine,9168
Bumetanide,9168
Piperazine,9116
Thymine,9111
Phenylpropanolamine,9099
Betamethasone dipropionate,9098
Amobarbital,9085
Sodium cyanide,9082
Acrolein,9079
Canagliflozin,9036
Papaverine,9032
Prostaglandin E1,9030
Sevoflurane,9020
Fumaric acid,9011
Ergometrine,8999
Lindane,8994
Lead(II) nitrate,8972
Acrylic acid,8962
Cinnamic acid,8958
Probenecid,8934
Oxymetholone,8930
Propylthiouracil,8910
Ethinylestradiol,8903
Ethidium bromide,8880
Carboplatin,8873
U-47700,8869
Cyanogen,8862
Methylone,8858
Pralidoxime,8848
Tabun (nerve agent),8832
Lithium aluminium hydride,8825
Sodium bisulfate,8825
Nalbuphine,8819
Fludeoxyglucose (18F),8806
2-Butoxyethanol,8803
Muscimol,8798
Thiamazole,8774
Psilocin,8770
1,4-Dioxane,8746
Progesterone (medication),8721
Ulipristal acetate,8719
Caprylic acid,8713
Lithium chloride,8704
Chlorzoxazone,8700
Methylisothiazolinone,8697
Cytarabine,8685
Tinidazole,8682
Calcium nitrate,8679
CA19-9,8654
Chlorophyll a,8641
Allantoin,8628
Benzyl benzoate,8608
Lead(II) acetate,8583
Hydroxyl radical,8581
Etoposide,8575
Methoxyflurane,8553
Etorphine,8536
Zaleplon,8535
Acetophenone,8534
LGD-4033,8507
Sodium sulfite,8488
P-Toluenesulfonic acid,8467
Isoleucine,8464
Isoleucine,8464
Catechol,8453
Sodium oxide,8434
Disodium inosinate,8433
Disodium inosinate,8433
Adipic acid,8432
Magnesium stearate,8430
Sodium percarbonate,8421
Barium chloride,8415
Dosulepin,8413
Rotenone,8404
Mesterolone,8363
Sodium oxybate,8331
Irbesartan,8328
Teriparatide,8327
Diethylene glycol,8326
Deoxyribose,8323
Thyrotropin-releasing hormone,8321
Pentazocine,8308
Timolol,8290
Mefloquine,8274
Isoflurane,8256
Isobutane,8222
Sacubitril,8222
Zonisamide,8220
Aztreonam,8214
Potassium ferrocyanide,8210
Nicotinamide riboside,8210
Ammonium bicarbonate,8208
Bleomycin,8204
Cannabinol,8191
Ciclopirox,8189
Cinacalcet,8184
Methanethiol,8174
Sodium fluoroacetate,8162
Cloxacillin,8144
Megestrol acetate,8144
Tiotropium bromide,8142
Desogestrel,8128
Tolterodine,8122
Eicosapentaenoic acid,8117
Dichlorodifluoromethane,8114
Terephthalic acid,8097
Ammonium carbonate,8081
Flupentixol,8069
Apomorphine,8067
Itopride,8061
Gallium nitride,8055
Gallium nitride,8055
Tetrabenazine,8054
2-Mercaptoethanol,8047
Venetoclax,8036
Ebastine,8018
Silicon nitride,8016
Furfural,8008
Hydroxylamine,8007
Abscisic acid,8002
Potassium bicarbonate,7991
Sermorelin,7990
Brimonidine,7985
Maleic acid,7975
Lovastatin,7970
Monopotassium phosphate,7958
Procainamide,7945
Tolperisone,7934
Eplerenone,7932
Nitrobenzene,7922
Pentaerythritol tetranitrate,7903
Solifenacin,7903
Etodolac,7901
Drospirenone,7883
Tricalcium phosphate,7880
Diphenoxylate,7876
Denatonium,7869
Calcium fluoride,7858
Androstenedione,7851
Moclobemide,7845
Cefadroxil,7814
Nefopam,7813
Bis(2-ethylhexyl) phthalate,7804
Acarbose,7794
Butyl acetate,7788
A-234 (nerve agent),7773
Olaparib,7766
Sodium sulfide,7754
Fluphenazine,7743
MPTP,7737
Zinc sulfide,7730
Zinc sulfide,7730
Zinc sulfide,7730
Benzil,7729
Nicorandil,7707
Peracetic acid,7699
Linagliptin,7699
Zeaxanthin,7692
Sufentanil,7687
Lamivudine,7676
Dimethylethanolamine,7675
Metaxalone,7671
Iron(II) oxide,7653
Mercury(I) chloride,7649
Saxitoxin,7648
Acetyl group,7634
Fenethylline,7612
Ergocalciferol,7606
Enrofloxacin,7604
Rutin,7603
Everolimus,7588
Adenosine diphosphate,7560
Tigecycline,7557
Eperisone,7539
Pirfenidone,7528
Potassium hydrogen phthalate,7513
Racecadotril,7506
Sodium hydride,7496
Geosmin,7496
Palytoxin,7495
Coomassie Brilliant Blue,7486
Synephrine,7459
Deltamethrin,7458
Erlotinib,7429
Retinal,7426
Methylergometrine,7424
Pholcodine,7424
Mercury(II) fulminate,7422
Sulfamic acid,7422
Enzalutamide,7420
Eriochrome Black T,7418
Arsenic trioxide,7397
Malachite green,7387
Boron trifluoride,7380
Roxithromycin,7377
Nabilone,7363
Trichloroacetic acid,7343
Arsenamide,7339
Phentolamine,7330
Copper(I) oxide,7327
Copper(I) oxide,7327
Lysergic acid,7324
Cocaethylene,7317
Isoamyl acetate,7308
Podophyllotoxin,7291
Butorphanol,7290
Nitrous acid,7283
Thiourea,7282
Carbofuran,7280
Benzydamine,7280
Trimethylamine,7276
Thebaine,7265
Copper(II) nitrate,7246
Esketamine,7232
Lithium hydroxide,7222
Myrcene,7214
Methcathinone,7209
Pyrophosphate,7198
Irinotecan,7198
Diammonium phosphate,7167
